id,name,store_revenue,store_size,temp,variety_score,quality_range,shop_area,city_tier,availability,discounts,weekday_sales,weekend_sales,total_sales,location
2,Store_1,61480.5,Large,Mid,4,1,868.99,3,Online,93,418.8,3867.32,16979.2,Outskirts
3,Store_2,46754.4,Small,Mid,7,9,537.38,2,Online,35,3900.25,8723.95,6242.25,Outskirts
4,Store_3,88257.9,Small,Low,0,8,1563.1,2,Offline,68,2809.85,3549.42,14857.1,Outskirts
5,Store_4,50060.1,Mid,High,4,9,397.07,1,Offline,91,9955.5,2782.91,4139.51,Outskirts
6,Store_5,12916.6,Mid,Mid,7,1,1986.8,2,Online,39,5707.46,6582.94,14905.1,Downtown
7,Store_6,40962.4,Mid,Mid,8,6,1147.27,1,Offline,86,7720.31,2938.7,8979.31,Outskirts
8,Store_7,90397.5,Small,Low,9,5,1782.49,3,Offline,7,4587.94,563.27,11125.4,Downtown
9,Store_8,94150.1,Small,High,10,7,1206.75,3,Offline,23,7768.47,1846.45,8321.8,Downtown
10,Store_9,39858.1,Small,Low,3,3,1454.0,2,Offline,94,4922.13,6237.72,9820.08,Downtown
11,Store_10,75201.5,Mid,High,1,2,1414.54,3,Offline,64,8258.84,2016.07,13974.6,Downtown
12,Store_11,29003.9,Mid,Low,3,10,1607.11,1,Online,99,7722.04,8979.84,3758.87,Outskirts
13,Store_12,43718.4,Mid,Mid,4,8,1938.15,2,Online,99,8606.92,3332.23,3645.72,Outskirts
14,Store_13,64110.7,Small,Mid,2,5,1538.73,2,Offline,91,7205.87,8616.7,3245.32,Outskirts
15,Store_14,29586.2,Mid,Low,3,5,763.12,2,Offline,50,3596.77,2688.65,7151.62,Downtown
16,Store_15,28773.4,Mid,Mid,10,7,1177.8,3,Online,4,3596.48,6311.34,5969.36,Outskirts
17,Store_16,95385.3,Mid,Low,2,4,1107.44,2,Offline,56,868.49,7063.8,6089.6,Downtown
18,Store_17,57716.8,Mid,Low,5,1,473.85,2,Online,10,3855.02,5782.11,16726.6,Outskirts
19,Store_18,65014.2,Large,Mid,6,0,594.34,2,Online,32,3257.46,6335.28,2818.15,Downtown
20,Store_19,70513.9,Small,High,9,2,927.67,3,Online,54,3486.56,876.62,9710.65,Downtown
21,Store_20,59678.6,Large,High,1,8,1222.64,2,Online,56,9303.68,9846.12,8578.82,Outskirts
22,Store_21,69115.4,Mid,Mid,10,10,1807.61,3,Offline,22,1999.18,2856.67,10744.8,Downtown
23,Store_22,22106.9,Large,Low,6,9,1129.49,1,Online,18,8363.72,6306.74,9135.04,Outskirts
24,Store_23,52968.8,Small,High,2,4,865.29,3,Offline,26,7970.36,2005.28,8976.21,Downtown
25,Store_24,15089.0,Small,High,2,8,1963.69,3,Offline,97,9832.93,163.18,4912.96,Downtown
26,Store_25,42531.6,Mid,Mid,9,3,1477.14,3,Offline,41,1046.82,2583.85,10621.3,Downtown
27,Store_26,36526.9,Small,Low,6,8,194.66,1,Online,52,1646.52,2276.19,11319.8,Downtown
28,Store_27,39034.7,Small,High,10,7,1367.57,1,Online,80,7201.23,1938.72,11123.3,Outskirts
29,Store_28,53864.3,Mid,Mid,3,2,816.37,1,Offline,42,3733.7,5861.37,11150.3,Outskirts
30,Store_29,41951.1,Mid,Low,8,10,960.62,2,Online,39,4080.39,8292.71,11156.0,Outskirts
31,Store_30,88042.0,Small,Low,2,5,318.08,1,Offline,51,7369.61,1370.81,12559.0,Downtown
32,Store_31,23249.7,Large,Low,7,0,519.08,1,Online,77,7381.94,3888.56,11016.2,Downtown
33,Store_32,88679.6,Small,High,8,6,1314.58,2,Online,10,6538.55,9423.48,17240.2,Downtown
34,Store_33,83196.0,Mid,Mid,6,5,1501.32,1,Offline,12,4025.55,6132.87,13227.5,Downtown
35,Store_34,23603.7,Mid,Low,10,4,493.04,3,Offline,0,8405.15,1841.21,6619.97,Outskirts
36,Store_35,84870.7,Small,High,3,8,1347.31,1,Offline,72,7334.39,5100.75,5001.22,Downtown
37,Store_36,34054.7,Large,Mid,10,8,1828.55,2,Online,56,3950.51,2725.97,1791.86,Downtown
38,Store_37,64242.3,Mid,Mid,8,8,1476.69,1,Online,60,1251.25,7738.54,7518.11,Downtown
39,Store_38,43571.0,Small,Low,7,10,64.89,1,Online,96,1381.03,7739.14,5198.29,Downtown
